auction_cat,auction_title,auction_price1,auction_price2,auction_del,auction_img,auction_url
민소매/나시티셔츠,Mens UA Threadborne Siro Muscle Tank,,"54,610",무료배송,http://image.auction.co.kr/itemimage/15/8f/2d/158f2db776.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B440424133
민소매/나시티셔츠, 상상발전소 블랙 민소매나시티 라이프가드 01_BCST,,"29,400",,http://image.auction.co.kr/itemimage/12/02/da/1202da4ab6.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B439491017
민소매/나시티셔츠,Mens UA Streaker Singlet,,"57,930",무료배송,http://image.auction.co.kr/itemimage/17/1b/8d/171b8d66f6.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B440424134
라운드넥티셔츠,엘라모 레인 반팔티셔츠 남녀공용 빅사이즈 S~4XL,"9,720",,무료배송,http://image.auction.co.kr/itemimage/17/a3/8d/17a38df8b6.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B617301041
라운드넥티셔츠,"헨리모리스,CR 남성 쿨 라운드 티셔츠","8,900",,,http://image.auction.co.kr/itemimage/18/83/15/1883155746.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B659554873
라운드넥티셔츠,엘라모 골드시티 반팔티셔츠 남녀공용 빅사이즈 S~4XL,"9,720",,무료배송,http://image.auction.co.kr/itemimage/17/a3/88/17a3885596.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B617296820
라운드넥티셔츠,쿨론티셔츠 반팔티셔츠/남여공용/빅사이즈/무지티반티,"4,550",,,http://image.auction.co.kr/itemimage/11/b7/23/11b7234866.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B426399260
라운드넥티셔츠,카치온 베이직 긴팔 쿨티셔츠 K92TS506,"8,180",,무료배송,http://image.auction.co.kr/itemimage/18/b2/44/18b244f346.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B666530006
민소매/나시티셔츠,(바보디자인)영문 투라인 레터링 배색 나시티 MGB961,"16,320",,,http://image.auction.co.kr/itemimage/15/5b/e4/155be46e46.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B532469236
라운드넥티셔츠,"탑보이, 탑보이  굵은 스트라이프 오버핏 반팔티셔츠 (KKA050","9,210",,,http://image.auction.co.kr/itemimage/16/19/6b/16196bb156.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B550964321
라운드넥티셔츠, 무료배송  로드스타 짱짱한 순면 무지티셔츠 3SET,"8,540",,무료배송,http://image.auction.co.kr/itemimage/18/88/c9/1888c9ab36.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B658975926
민소매/나시티셔츠,"나이키,나이키 탱크 탑 나시티 NIKE ACE LOGO TANK",,"42,900",,http://image.auction.co.kr/itemimage/15/40/82/1540822516.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B530236044
